"Help Us to Keep Magento Healthy","Ajude-nos a melhorar o Magento"
"You have no items in your shopping cart.","Voce nao tem itens no seu carrinho de compras."
"Browse Categories","Procurar Categorias"
"Compare Products","Compare Produtos"
"You have no items to compare.","Voce nao tem itens para comparar."
"Sort By","Ordenar por"
"Shop By","Compre por"
"Checkout Method","Metodo de Checkout"
"Login or Create an Account","Entrar ou Criar Conta"
"New Customers","Novos Clientes"
"Registered Customers","Os clientes registrados"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, voce sera capaz de se mover atraves do processo de compra mais rapidamente, armazenar multiplos enderecos de envio, ver e rastrear seus pedidos na sua conta e muito mais."
"If you have an account with us, please log in.","Se voce tem uma conta conosco, efetue o login."
"Forgot Your Password?","Esqueceu sua senha?"
"My Dashboard","Meu Painel"
"Thank you for registering with","Obrigado por se registar com"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Painel da sua conta voce tem a capacidade de visualizar um instantaneo de sua atividade na conta recente e atualizar informacoes de sua conta. Selecione um link abaixo para visualizar ou editar as informacoes."
"Contact Information","Informacoes para contato"
"You are currently not subscribed to any newsletter.","Voce nao esta inscrito em nenhum boletim."
"Address Book","Livro de Enderecos"
"You have not set a default billing address.","Voce nao definiu um endereco de cobranca padrao"
"Default Shipping Address","Endereco para envio padrao"
"You have not set a default shipping address.","Voce nao definiu um endereco de entrega padrao."
"Billing Agreements","Acordos de faturamento"
"There are no billing agreements yet.","Nao existem acordos de faturamento ainda."
"Recurring Profiles","Perfis recorrentes"
"There are no recurring profiles yet.","Nao ha perfis recorrentes ainda."
"My Product Reviews","Minhas Opinioes"
"Newsletter Subscriptions","Assinaturas Boletim"
"My Downloadable Products","Meus produtos Transferiveis"
"You have not purchased any downloadable products yet.","Voce ainda nao comprou nenhum produto para download ainda."
"Sign Up for Our Newsletter:","Registe-se na nossa newsletter:"
"Report All Bugs","Reportar todos os erros"
"Designed by ","Projetado por "
